crop_path,label,game,src_image,x1,y1,x2,y2,frame_idx,player_id,role_name,left2right
dataset_v1/crops/game_10_H1__frame_002036__i16__f2036__p105.jpg,team_left,game_10_H1,/home/anton/Desktop/skoltech/ML/Project/output_crops/game_10_H1/images/frame_002036.jpg,12,464,62,602,2036,105,Left Midfielder,1
dataset_v1/crops/game_10_H1__frame_002036__i17__f2036__p106.jpg,team_left,game_10_H1,/home/anton/Desktop/skoltech/ML/Project/output_crops/game_10_H1/images/frame_002036.jpg,543,112,592,205,2036,106,Right Winger,1
dataset_v1/crops/game_10_H1__frame_002036__i18__f2036__p107.jpg,team_left,game_10_H1,/home/anton/Desktop/skoltech/ML/Project/output_crops/game_10_H1/images/frame_002036.jpg,341,101,376,165,2036,107,Right Back,1
dataset_v1/crops/game_10_H1__frame_002036__i19__f2036__p108.jpg,team_left,game_10_H1,/home/anton/Desktop/skoltech/ML/Project/output_crops/game_10_H1/images/frame_002036.jpg,560,298,600,402,2036,108,Attacking Midfielder,1
dataset_v1/crops/game_10_H1__frame_002036__i20__f2036__p110.jpg,team_left,game_10_H1,/home/anton/Desktop/skoltech/ML/Project/output_crops/game_10_H1/images/frame_002036.jpg,805,133,861,237,2036,110,Right Midfielder,1
dataset_v1/crops/game_10_H1__frame_002036__i21__f2036__p200.jpg,team_right,game_10_H1,/home/anton/Desktop/skoltech/ML/Project/output_crops/game_10_H1/images/frame_002036.jpg,323,373,360,496,2036,200,Right Midfielder,0
dataset_v1/crops/game_10_H1__frame_002036__i22__f2036__p202.jpg,team_right,game_10_H1,/home/anton/Desktop/skoltech/ML/Project/output_crops/game_10_H1/images/frame_002036.jpg,362,159,398,261,2036,202,Left Midfielder,0
dataset_v1/crops/game_10_H1__frame_002036__i23__f2036__p205.jpg,team_right,game_10_H1,/home/anton/Desktop/skoltech/ML/Project/output_crops/game_10_H1/images/frame_002036.jpg,895,270,951,380,2036,205,Central Forward,0
dataset_v1/crops/game_10_H1__frame_002036__i24__f2036__p206.jpg,team_right,game_10_H1,/home/anton/Desktop/skoltech/ML/Project/output_crops/game_10_H1/images/frame_002036.jpg,668,120,713,217,2036,206,Left Winger,0
dataset_v1/crops/game_10_H1__frame_002036__i25__f2036__p207.jpg,team_right,game_10_H1,/home/anton/Desktop/skoltech/ML/Project/output_crops/game_10_H1/images/frame_002036.jpg,81,104,115,195,2036,207,Left Back,0
dataset_v1/crops/game_10_H1__frame_002555__i26__f2555__p102.jpg,team_left,game_10_H1,/home/anton/Desktop/skoltech/ML/Project/output_crops/game_10_H1/images/frame_002555.jpg,156,449,217,587,2555,102,Central Forward,1
dataset_v1/crops/game_10_H1__frame_002555__i27__f2555__p104.jpg,team_left,game_10_H1,/home/anton/Desktop/skoltech/ML/Project/output_crops/game_10_H1/images/frame_002555.jpg,1061,681,1172,832,2555,104,Left Back,1
dataset_v1/crops/game_10_H1__frame_002555__i28__f2555__p105.jpg,team_left,game_10_H1,/home/anton/Desktop/skoltech/ML/Project/output_crops/game_10_H1/images/frame_002555.jpg,986,648,1058,785,2555,105,Left Midfielder,1
dataset_v1/crops/game_10_H1__frame_002555__i29__f2555__p106.jpg,team_left,game_10_H1,/home/anton/Desktop/skoltech/ML/Project/output_crops/game_10_H1/images/frame_002555.jpg,628,106,674,194,2555,106,Right Winger,1
dataset_v1/crops/game_10_H1__frame_002555__i30__f2555__p107.jpg,team_left,game_10_H1,/home/anton/Desktop/skoltech/ML/Project/output_crops/game_10_H1/images/frame_002555.jpg,1705,146,1745,253,2555,107,Right Back,1
dataset_v1/crops/game_10_H1__frame_002555__i31__f2555__p108.jpg,team_left,game_10_H1,/home/anton/Desktop/skoltech/ML/Project/output_crops/game_10_H1/images/frame_002555.jpg,1536,598,1633,776,2555,108,Attacking Midfielder,1
dataset_v1/crops/game_10_H1__frame_002555__i32__f2555__p109.jpg,team_left,game_10_H1,/home/anton/Desktop/skoltech/ML/Project/output_crops/game_10_H1/images/frame_002555.jpg,358,756,455,932,2555,109,Left Winger,1
dataset_v1/crops/game_10_H1__frame_002555__i33__f2555__p110.jpg,team_left,game_10_H1,/home/anton/Desktop/skoltech/ML/Project/output_crops/game_10_H1/images/frame_002555.jpg,1083,333,1131,458,2555,110,Right Midfielder,1
dataset_v1/crops/game_10_H1__frame_002555__i34__f2555__p201.jpg,team_right,game_10_H1,/home/anton/Desktop/skoltech/ML/Project/output_crops/game_10_H1/images/frame_002555.jpg,1536,598,1633,776,2555,201,Right Winger,0
dataset_v1/crops/game_10_H1__frame_002555__i35__f2555__p202.jpg,team_right,game_10_H1,/home/anton/Desktop/skoltech/ML/Project/output_crops/game_10_H1/images/frame_002555.jpg,940,317,1011,437,2555,202,Left Midfielder,0
dataset_v1/crops/game_10_H1__frame_002555__i36__f2555__p203.jpg,team_right,game_10_H1,/home/anton/Desktop/skoltech/ML/Project/output_crops/game_10_H1/images/frame_002555.jpg,321,408,383,533,2555,203,Left Central Back,0
dataset_v1/crops/game_10_H1__frame_002555__i37__f2555__p204.jpg,team_right,game_10_H1,/home/anton/Desktop/skoltech/ML/Project/output_crops/game_10_H1/images/frame_002555.jpg,128,560,181,715,2555,204,Right Central Back,0
dataset_v1/crops/game_10_H1__frame_002555__i38__f2555__p205.jpg,team_right,game_10_H1,/home/anton/Desktop/skoltech/ML/Project/output_crops/game_10_H1/images/frame_002555.jpg,1861,505,1914,645,2555,205,Central Forward,0
dataset_v1/crops/game_10_H1__frame_002555__i39__f2555__p206.jpg,team_right,game_10_H1,/home/anton/Desktop/skoltech/ML/Project/output_crops/game_10_H1/images/frame_002555.jpg,1141,134,1179,236,2555,206,Left Winger,0
dataset_v1/crops/game_10_H1__frame_002555__i40__f2555__p207.jpg,team_right,game_10_H1,/home/anton/Desktop/skoltech/ML/Project/output_crops/game_10_H1/images/frame_002555.jpg,485,221,533,329,2555,207,Left Back,0
dataset_v1/crops/game_10_H1__frame_002555__i41__f2555__p208.jpg,team_right,game_10_H1,/home/anton/Desktop/skoltech/ML/Project/output_crops/game_10_H1/images/frame_002555.jpg,835,591,917,711,2555,208,Attacking Midfielder,0
dataset_v1/crops/game_10_H1__frame_002555__i42__f2555__p209.jpg,team_right,game_10_H1,/home/anton/Desktop/skoltech/ML/Project/output_crops/game_10_H1/images/frame_002555.jpg,68,706,118,872,2555,209,Right Back,0
dataset_v1/crops/game_10_H1__frame_002788__i43__f2788__p102.jpg,team_left,game_10_H1,/home/anton/Desktop/skoltech/ML/Project/output_crops/game_10_H1/images/frame_002788.jpg,819,468,896,585,2788,102,Central Forward,1
dataset_v1/crops/game_10_H1__frame_002788__i44__f2788__p105.jpg,team_left,game_10_H1,/home/anton/Desktop/skoltech/ML/Project/output_crops/game_10_H1/images/frame_002788.jpg,1789,710,1861,837,2788,105,Left Midfielder,1
dataset_v1/crops/game_10_H1__frame_002788__i45__f2788__p106.jpg,team_left,game_10_H1,/home/anton/Desktop/skoltech/ML/Project/output_crops/game_10_H1/images/frame_002788.jpg,1584,316,1646,412,2788,106,Right Winger,1
dataset_v1/crops/game_10_H1__frame_002788__i46__f2788__p109.jpg,team_left,game_10_H1,/home/anton/Desktop/skoltech/ML/Project/output_crops/game_10_H1/images/frame_002788.jpg,1528,843,1583,996,2788,109,Left Winger,1
dataset_v1/crops/game_10_H1__frame_002788__i47__f2788__p110.jpg,team_left,game_10_H1,/home/anton/Desktop/skoltech/ML/Project/output_crops/game_10_H1/images/frame_002788.jpg,1745,467,1841,583,2788,110,Right Midfielder,1
dataset_v1/crops/game_10_H1__frame_002788__i48__f2788__p203.jpg,team_right,game_10_H1,/home/anton/Desktop/skoltech/ML/Project/output_crops/game_10_H1/images/frame_002788.jpg,649,423,691,545,2788,203,Left Central Back,0
dataset_v1/crops/game_10_H1__frame_002788__i49__f2788__p204.jpg,team_right,game_10_H1,/home/anton/Desktop/skoltech/ML/Project/output_crops/game_10_H1/images/frame_002788.jpg,384,640,482,780,2788,204,Right Central Back,0
dataset_v1/crops/game_10_H1__frame_002788__i50__f2788__p207.jpg,team_right,game_10_H1,/home/anton/Desktop/skoltech/ML/Project/output_crops/game_10_H1/images/frame_002788.jpg,1217,290,1259,384,2788,207,Left Back,0
dataset_v1/crops/game_10_H1__frame_002788__i51__f2788__p208.jpg,team_right,game_10_H1,/home/anton/Desktop/skoltech/ML/Project/output_crops/game_10_H1/images/frame_002788.jpg,1572,688,1625,826,2788,208,Attacking Midfielder,0
dataset_v1/crops/game_10_H1__frame_002788__i52__f2788__p209.jpg,team_right,game_10_H1,/home/anton/Desktop/skoltech/ML/Project/output_crops/game_10_H1/images/frame_002788.jpg,1052,861,1111,1016,2788,209,Right Back,0
dataset_v1/crops/game_10_H1__frame_002788__i53__f2788__p210.jpg,goalkeeper,game_10_H1,/home/anton/Desktop/skoltech/ML/Project/output_crops/game_10_H1/images/frame_002788.jpg,0,381,67,498,2788,210,Goalkeeper,0
dataset_v1/crops/game_10_H1__frame_006102__i54__f6102__p102.jpg,team_left,game_10_H1,/home/anton/Desktop/skoltech/ML/Project/output_crops/game_10_H1/images/frame_006102.jpg,1020,601,1090,669,6102,102,Central Forward,1
dataset_v1/crops/game_10_H1__frame_006102__i55__f6102__p104.jpg,team_left,game_10_H1,/home/anton/Desktop/skoltech/ML/Project/output_crops/game_10_H1/images/frame_006102.jpg,992,520,1052,630,6102,104,Left Back,1
dataset_v1/crops/game_10_H1__frame_006102__i56__f6102__p105.jpg,team_left,game_10_H1,/home/anton/Desktop/skoltech/ML/Project/output_crops/game_10_H1/images/frame_006102.jpg,712,641,784,794,6102,105,Left Midfielder,1
dataset_v1/crops/game_10_H1__frame_006102__i57__f6102__p106.jpg,team_left,game_10_H1,/home/anton/Desktop/skoltech/ML/Project/output_crops/game_10_H1/images/frame_006102.jpg,1505,369,1566,476,6102,106,Right Winger,1
dataset_v1/crops/game_10_H1__frame_006102__i58__f6102__p109.jpg,team_left,game_10_H1,/home/anton/Desktop/skoltech/ML/Project/output_crops/game_10_H1/images/frame_006102.jpg,1344,560,1402,689,6102,109,Left Winger,1
dataset_v1/crops/game_10_H1__frame_006102__i59__f6102__p200.jpg,team_right,game_10_H1,/home/anton/Desktop/skoltech/ML/Project/output_crops/game_10_H1/images/frame_006102.jpg,1255,608,1315,753,6102,200,Right Midfielder,0
dataset_v1/crops/game_10_H1__frame_006102__i60__f6102__p201.jpg,team_right,game_10_H1,/home/anton/Desktop/skoltech/ML/Project/output_crops/game_10_H1/images/frame_006102.jpg,1026,656,1085,782,6102,201,Right Winger,0
dataset_v1/crops/game_10_H1__frame_006102__i61__f6102__p202.jpg,team_right,game_10_H1,/home/anton/Desktop/skoltech/ML/Project/output_crops/game_10_H1/images/frame_006102.jpg,1468,481,1541,610,6102,202,Left Midfielder,0
dataset_v1/crops/game_10_H1__frame_006102__i62__f6102__p203.jpg,team_right,game_10_H1,/home/anton/Desktop/skoltech/ML/Project/output_crops/game_10_H1/images/frame_006102.jpg,1227,436,1293,564,6102,203,Left Central Back,0
dataset_v1/crops/game_10_H1__frame_006102__i63__f6102__p204.jpg,team_right,game_10_H1,/home/anton/Desktop/skoltech/ML/Project/output_crops/game_10_H1/images/frame_006102.jpg,1109,502,1194,619,6102,204,Right Central Back,0
dataset_v1/crops/game_10_H1__frame_006102__i64__f6102__p206.jpg,team_right,game_10_H1,/home/anton/Desktop/skoltech/ML/Project/output_crops/game_10_H1/images/frame_006102.jpg,1743,394,1792,515,6102,206,Left Winger,0
dataset_v1/crops/game_10_H1__frame_006102__i65__f6102__p207.jpg,team_right,game_10_H1,/home/anton/Desktop/skoltech/ML/Project/output_crops/game_10_H1/images/frame_006102.jpg,1333,387,1393,500,6102,207,Left Back,0
dataset_v1/crops/game_10_H1__frame_006102__i66__f6102__p208.jpg,team_right,game_10_H1,/home/anton/Desktop/skoltech/ML/Project/output_crops/game_10_H1/images/frame_006102.jpg,873,607,936,743,6102,208,Attacking Midfielder,0
dataset_v1/crops/game_10_H1__frame_006102__i67__f6102__p209.jpg,team_right,game_10_H1,/home/anton/Desktop/skoltech/ML/Project/output_crops/game_10_H1/images/frame_006102.jpg,914,555,983,678,6102,209,Right Back,0
dataset_v1/crops/game_10_H1__frame_006102__i68__f6102__p210.jpg,goalkeeper,game_10_H1,/home/anton/Desktop/skoltech/ML/Project/output_crops/game_10_H1/images/frame_006102.jpg,650,427,709,520,6102,210,Goalkeeper,0
dataset_v1/crops/game_10_H1__frame_008679__i69__f8679__p101.jpg,team_left,game_10_H1,/home/anton/Desktop/skoltech/ML/Project/output_crops/game_10_H1/images/frame_008679.jpg,1697,567,1744,699,8679,101,Left Central Back,1
dataset_v1/crops/game_10_H1__frame_008679__i70__f8679__p102.jpg,team_left,game_10_H1,/home/anton/Desktop/skoltech/ML/Project/output_crops/game_10_H1/images/frame_008679.jpg,19,381,73,504,8679,102,Central Forward,1
dataset_v1/crops/game_10_H1__frame_008679__i71__f8679__p103.jpg,team_left,game_10_H1,/home/anton/Desktop/skoltech/ML/Project/output_crops/game_10_H1/images/frame_008679.jpg,1540,320,1622,420,8679,103,Right Central Back,1
dataset_v1/crops/game_10_H1__frame_008679__i72__f8679__p104.jpg,team_left,game_10_H1,/home/anton/Desktop/skoltech/ML/Project/output_crops/game_10_H1/images/frame_008679.jpg,421,800,502,954,8679,104,Left Back,1
dataset_v1/crops/game_10_H1__frame_008679__i73__f8679__p105.jpg,team_left,game_10_H1,/home/anton/Desktop/skoltech/ML/Project/output_crops/game_10_H1/images/frame_008679.jpg,345,545,391,681,8679,105,Left Midfielder,1
dataset_v1/crops/game_10_H1__frame_008679__i74__f8679__p106.jpg,team_left,game_10_H1,/home/anton/Desktop/skoltech/ML/Project/output_crops/game_10_H1/images/frame_008679.jpg,247,198,287,292,8679,106,Right Winger,1
dataset_v1/crops/game_10_H1__frame_008679__i75__f8679__p107.jpg,team_left,game_10_H1,/home/anton/Desktop/skoltech/ML/Project/output_crops/game_10_H1/images/frame_008679.jpg,291,101,347,165,8679,107,Right Back,1
dataset_v1/crops/game_10_H1__frame_008679__i76__f8679__p108.jpg,team_left,game_10_H1,/home/anton/Desktop/skoltech/ML/Project/output_crops/game_10_H1/images/frame_008679.jpg,1132,456,1174,561,8679,108,Attacking Midfielder,1
dataset_v1/crops/game_10_H1__frame_008679__i77__f8679__p200.jpg,team_right,game_10_H1,/home/anton/Desktop/skoltech/ML/Project/output_crops/game_10_H1/images/frame_008679.jpg,712,505,760,630,8679,200,Right Midfielder,0
dataset_v1/crops/game_10_H1__frame_008679__i78__f8679__p201.jpg,team_right,game_10_H1,/home/anton/Desktop/skoltech/ML/Project/output_crops/game_10_H1/images/frame_008679.jpg,343,677,388,808,8679,201,Right Winger,0
dataset_v1/crops/game_10_H1__frame_008679__i79__f8679__p202.jpg,team_right,game_10_H1,/home/anton/Desktop/skoltech/ML/Project/output_crops/game_10_H1/images/frame_008679.jpg,1057,319,1122,431,8679,202,Left Midfielder,0
dataset_v1/crops/game_10_H1__frame_008679__i80__f8679__p205.jpg,team_right,game_10_H1,/home/anton/Desktop/skoltech/ML/Project/output_crops/game_10_H1/images/frame_008679.jpg,1509,486,1559,606,8679,205,Central Forward,0
dataset_v1/crops/game_10_H1__frame_008679__i81__f8679__p206.jpg,team_right,game_10_H1,/home/anton/Desktop/skoltech/ML/Project/output_crops/game_10_H1/images/frame_008679.jpg,510,208,544,302,8679,206,Left Winger,0
dataset_v1/crops/game_10_H1__frame_008679__i82__f8679__p207.jpg,team_right,game_10_H1,/home/anton/Desktop/skoltech/ML/Project/output_crops/game_10_H1/images/frame_008679.jpg,7,241,80,331,8679,207,Left Back,0
dataset_v1/crops/game_10_H1__frame_009832__i83__f9832__p101.jpg,team_left,game_10_H1,/home/anton/Desktop/skoltech/ML/Project/output_crops/game_10_H1/images/frame_009832.jpg,1402,374,1464,493,9832,101,Left Central Back,1
dataset_v1/crops/game_10_H1__frame_009832__i84__f9832__p103.jpg,team_left,game_10_H1,/home/anton/Desktop/skoltech/ML/Project/output_crops/game_10_H1/images/frame_009832.jpg,1025,199,1080,306,9832,103,Right Central Back,1
dataset_v1/crops/game_10_H1__frame_009832__i85__f9832__p104.jpg,team_left,game_10_H1,/home/anton/Desktop/skoltech/ML/Project/output_crops/game_10_H1/images/frame_009832.jpg,806,812,898,981,9832,104,Left Back,1
dataset_v1/crops/game_10_H1__frame_009832__i86__f9832__p108.jpg,team_left,game_10_H1,/home/anton/Desktop/skoltech/ML/Project/output_crops/game_10_H1/images/frame_009832.jpg,1137,530,1196,648,9832,108,Attacking Midfielder,1
dataset_v1/crops/game_10_H1__frame_009832__i87__f9832__p110.jpg,team_left,game_10_H1,/home/anton/Desktop/skoltech/ML/Project/output_crops/game_10_H1/images/frame_009832.jpg,112,408,182,532,9832,110,Right Midfielder,1
dataset_v1/crops/game_10_H1__frame_009832__i88__f9832__p200.jpg,team_right,game_10_H1,/home/anton/Desktop/skoltech/ML/Project/output_crops/game_10_H1/images/frame_009832.jpg,918,512,990,643,9832,200,Right Midfielder,0
dataset_v1/crops/game_10_H1__frame_009832__i89__f9832__p201.jpg,team_right,game_10_H1,/home/anton/Desktop/skoltech/ML/Project/output_crops/game_10_H1/images/frame_009832.jpg,101,683,191,807,9832,201,Right Winger,0
dataset_v1/crops/game_10_H1__frame_009832__i90__f9832__p202.jpg,team_right,game_10_H1,/home/anton/Desktop/skoltech/ML/Project/output_crops/game_10_H1/images/frame_009832.jpg,257,346,306,456,9832,202,Left Midfielder,0
dataset_v1/crops/game_10_H1__frame_009832__i91__f9832__p205.jpg,team_right,game_10_H1,/home/anton/Desktop/skoltech/ML/Project/output_crops/game_10_H1/images/frame_009832.jpg,857,361,897,465,9832,205,Central Forward,0
dataset_v1/crops/game_10_H1__frame_009832__i92__f9832__p206.jpg,team_right,game_10_H1,/home/anton/Desktop/skoltech/ML/Project/output_crops/game_10_H1/images/frame_009832.jpg,23,211,85,315,9832,206,Left Winger,0
dataset_v1/crops/game_10_H1__frame_009832__i93__f9832__p208.jpg,team_right,game_10_H1,/home/anton/Desktop/skoltech/ML/Project/output_crops/game_10_H1/images/frame_009832.jpg,1,496,52,611,9832,208,Attacking Midfielder,0
dataset_v1/crops/game_10_H1__frame_010871__i94__f10871__p102.jpg,team_left,game_10_H1,/home/anton/Desktop/skoltech/ML/Project/output_crops/game_10_H1/images/frame_010871.jpg,1397,427,1449,523,10871,102,Central Forward,1
dataset_v1/crops/game_10_H1__frame_010871__i95__f10871__p105.jpg,team_left,game_10_H1,/home/anton/Desktop/skoltech/ML/Project/output_crops/game_10_H1/images/frame_010871.jpg,1278,546,1316,650,10871,105,Left Midfielder,1
dataset_v1/crops/game_10_H1__frame_010871__i96__f10871__p109.jpg,team_left,game_10_H1,/home/anton/Desktop/skoltech/ML/Project/output_crops/game_10_H1/images/frame_010871.jpg,1231,755,1288,876,10871,109,Left Winger,1
dataset_v1/crops/game_10_H1__frame_010871__i97__f10871__p203.jpg,team_right,game_10_H1,/home/anton/Desktop/skoltech/ML/Project/output_crops/game_10_H1/images/frame_010871.jpg,1066,367,1101,454,10871,203,Left Central Back,0
dataset_v1/crops/game_10_H1__frame_010871__i98__f10871__p208.jpg,team_right,game_10_H1,/home/anton/Desktop/skoltech/ML/Project/output_crops/game_10_H1/images/frame_010871.jpg,1849,568,1891,674,10871,208,Attacking Midfielder,0
dataset_v1/crops/game_10_H1__frame_010871__i99__f10871__p210.jpg,goalkeeper,game_10_H1,/home/anton/Desktop/skoltech/ML/Project/output_crops/game_10_H1/images/frame_010871.jpg,829,424,867,512,10871,210,Goalkeeper,0
dataset_v1/crops/game_10_H1__frame_011376__i100__f11376__p101.jpg,team_left,game_10_H1,/home/anton/Desktop/skoltech/ML/Project/output_crops/game_10_H1/images/frame_011376.jpg,1636,404,1691,521,11376,101,Left Central Back,1
dataset_v1/crops/game_10_H1__frame_011376__i101__f11376__p103.jpg,team_left,game_10_H1,/home/anton/Desktop/skoltech/ML/Project/output_crops/game_10_H1/images/frame_011376.jpg,1421,254,1475,362,11376,103,Right Central Back,1
dataset_v1/crops/game_10_H1__frame_011376__i102__f11376__p104.jpg,team_left,game_10_H1,/home/anton/Desktop/skoltech/ML/Project/output_crops/game_10_H1/images/frame_011376.jpg,1499,575,1561,713,11376,104,Left Back,1
dataset_v1/crops/game_10_H1__frame_011376__i103__f11376__p107.jpg,team_left,game_10_H1,/home/anton/Desktop/skoltech/ML/Project/output_crops/game_10_H1/images/frame_011376.jpg,951,150,1034,252,11376,107,Right Back,1
dataset_v1/crops/game_10_H1__frame_011376__i104__f11376__p108.jpg,team_left,game_10_H1,/home/anton/Desktop/skoltech/ML/Project/output_crops/game_10_H1/images/frame_011376.jpg,424,556,492,678,11376,108,Attacking Midfielder,1
dataset_v1/crops/game_10_H1__frame_011376__i105__f11376__p110.jpg,team_left,game_10_H1,/home/anton/Desktop/skoltech/ML/Project/output_crops/game_10_H1/images/frame_011376.jpg,906,417,951,536,11376,110,Right Midfielder,1
dataset_v1/crops/game_10_H1__frame_011376__i106__f11376__p200.jpg,team_right,game_10_H1,/home/anton/Desktop/skoltech/ML/Project/output_crops/game_10_H1/images/frame_011376.jpg,788,461,830,586,11376,200,Right Midfielder,0
dataset_v1/crops/game_10_H1__frame_011376__i107__f11376__p201.jpg,team_right,game_10_H1,/home/anton/Desktop/skoltech/ML/Project/output_crops/game_10_H1/images/frame_011376.jpg,903,542,949,666,11376,201,Right Winger,0
dataset_v1/crops/game_10_H1__frame_011376__i108__f11376__p202.jpg,team_right,game_10_H1,/home/anton/Desktop/skoltech/ML/Project/output_crops/game_10_H1/images/frame_011376.jpg,384,277,419,388,11376,202,Left Midfielder,0
dataset_v1/crops/game_10_H1__frame_011376__i109__f11376__p205.jpg,team_right,game_10_H1,/home/anton/Desktop/skoltech/ML/Project/output_crops/game_10_H1/images/frame_011376.jpg,984,325,1033,437,11376,205,Central Forward,0
dataset_v1/crops/game_10_H1__frame_011376__i110__f11376__p206.jpg,team_right,game_10_H1,/home/anton/Desktop/skoltech/ML/Project/output_crops/game_10_H1/images/frame_011376.jpg,302,335,348,446,11376,206,Left Winger,0
dataset_v1/crops/game_10_H1__frame_011376__i111__f11376__p208.jpg,team_right,game_10_H1,/home/anton/Desktop/skoltech/ML/Project/output_crops/game_10_H1/images/frame_011376.jpg,396,461,452,593,11376,208,Attacking Midfielder,0
dataset_v1/crops/game_10_H1__frame_011783__i112__f11783__p101.jpg,team_left,game_10_H1,/home/anton/Desktop/skoltech/ML/Project/output_crops/game_10_H1/images/frame_011783.jpg,1878,479,1914,607,11783,101,Left Central Back,1
dataset_v1/crops/game_10_H1__frame_011783__i113__f11783__p103.jpg,team_left,game_10_H1,/home/anton/Desktop/skoltech/ML/Project/output_crops/game_10_H1/images/frame_011783.jpg,1091,209,1132,308,11783,103,Right Central Back,1
dataset_v1/crops/game_10_H1__frame_011783__i114__f11783__p104.jpg,team_left,game_10_H1,/home/anton/Desktop/skoltech/ML/Project/output_crops/game_10_H1/images/frame_011783.jpg,692,890,757,1051,11783,104,Left Back,1
dataset_v1/crops/game_10_H1__frame_011783__i115__f11783__p105.jpg,team_left,game_10_H1,/home/anton/Desktop/skoltech/ML/Project/output_crops/game_10_H1/images/frame_011783.jpg,1,527,36,654,11783,105,Left Midfielder,1
dataset_v1/crops/game_10_H1__frame_011783__i116__f11783__p107.jpg,team_left,game_10_H1,/home/anton/Desktop/skoltech/ML/Project/output_crops/game_10_H1/images/frame_011783.jpg,492,241,562,338,11783,107,Right Back,1
dataset_v1/crops/game_10_H1__frame_011783__i117__f11783__p108.jpg,team_left,game_10_H1,/home/anton/Desktop/skoltech/ML/Project/output_crops/game_10_H1/images/frame_011783.jpg,797,313,841,407,11783,108,Attacking Midfielder,1
dataset_v1/crops/game_10_H1__frame_011783__i118__f11783__p200.jpg,team_right,game_10_H1,/home/anton/Desktop/skoltech/ML/Project/output_crops/game_10_H1/images/frame_011783.jpg,607,386,653,502,11783,200,Right Midfielder,0
